=== RUN   TestConcurrentSafeLRU
--- PASS: TestConcurrentSafeLRU (0.00s)
=== RUN   TestNewDoubleLinkList
--- PASS: TestNewDoubleLinkList (0.00s)
=== RUN   TestDoubleLinkList_Remove
--- PASS: TestDoubleLinkList_Remove (0.00s)
=== RUN   TestLinkListLRU
--- PASS: TestLinkListLRU (0.00s)
=== RUN   TestSliceLRU
--- PASS: TestSliceLRU (0.00s)
goos: darwin
goarch: amd64
pkg: github.com/zhangmingkai4315/liblru
BenchmarkLRU_Set/slicelru-16-6         	 7242322	       168 ns/op	      80 B/op	       3 allocs/op
BenchmarkLRU_Set/slicelru-32-6         	 5537265	       222 ns/op	      79 B/op	       3 allocs/op
BenchmarkLRU_Set/slicelru-64-6         	 3702372	       333 ns/op	      79 B/op	       3 allocs/op
BenchmarkLRU_Set/slicelru-128-6        	 2167615	       549 ns/op	      79 B/op	       3 allocs/op
BenchmarkLRU_Set/slicelru-256-6        	 1225981	       984 ns/op	      79 B/op	       3 allocs/op
BenchmarkLRU_Set/slicelru-512-6        	  650452	      1861 ns/op	      79 B/op	       3 allocs/op
BenchmarkLRU_Set/slicelru-1024-6       	  372967	      3602 ns/op	      79 B/op	       3 allocs/op
BenchmarkLRU_Set/slicelru-2048-6       	  198013	      7248 ns/op	     103 B/op	       3 allocs/op
BenchmarkLRU_Set/slicelru-4096-6       	  111669	     14557 ns/op	     103 B/op	       3 allocs/op
BenchmarkLRU_Set/slicelru-8192-6       	   78105	     27934 ns/op	     103 B/op	       2 allocs/op
BenchmarkLRU_Set/slicelru-16384-6      	   76904	     45482 ns/op	      99 B/op	       2 allocs/op
BenchmarkLRU_Set/slicelru-32768-6      	   77810	     82745 ns/op	      98 B/op	       2 allocs/op
BenchmarkLRU_Set/slicelru-65536-6      	   59710	     90504 ns/op	      96 B/op	       2 allocs/op
BenchmarkLRU_Set/linklistlru-16-6      	 5874750	       203 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/linklistlru-32-6      	 5850553	       206 ns/op	      66 B/op	       3 allocs/op
BenchmarkLRU_Set/linklistlru-64-6      	 5811062	       207 ns/op	      66 B/op	       3 allocs/op
BenchmarkLRU_Set/linklistlru-128-6     	 5804197	       212 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/linklistlru-256-6     	 5639049	       214 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/linklistlru-512-6     	 5562681	       219 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/linklistlru-1024-6    	 5493770	       219 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/linklistlru-2048-6    	 5396746	       224 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/linklistlru-4096-6    	 5079134	       240 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/linklistlru-8192-6    	 4744225	       248 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/linklistlru-16384-6   	 4716069	       259 ns/op	      64 B/op	       3 allocs/op
BenchmarkLRU_Set/linklistlru-32768-6   	 4651280	       265 ns/op	      64 B/op	       3 allocs/op
BenchmarkLRU_Set/linklistlru-65536-6   	 4248658	       289 ns/op	      64 B/op	       3 allocs/op
BenchmarkLRU_Set/concurrentlru-16-6    	 4968891	       243 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/concurrentlru-32-6    	 4927071	       245 ns/op	      66 B/op	       3 allocs/op
BenchmarkLRU_Set/concurrentlru-64-6    	 4884494	       249 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/concurrentlru-128-6   	 4885410	       248 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/concurrentlru-256-6   	 4847872	       253 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/concurrentlru-512-6   	 4743471	       256 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/concurrentlru-1024-6  	 4690080	       256 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/concurrentlru-2048-6  	 4588356	       261 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/concurrentlru-4096-6  	 4476319	       271 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/concurrentlru-8192-6  	 4230949	       288 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/concurrentlru-16384-6 	 4091266	       302 ns/op	      65 B/op	       3 allocs/op
BenchmarkLRU_Set/concurrentlru-32768-6 	 3916704	       304 ns/op	      64 B/op	       3 allocs/op
BenchmarkLRU_Set/concurrentlru-65536-6 	 3954196	       334 ns/op	      64 B/op	       3 allocs/op
BenchmarkLRU_GetInLRU/slicelru-16-6    	42625429	        28.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLRU_GetInLRU/slicelru-32-6    	39599884	        31.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLRU_GetInLRU/slicelru-64-6    	38564259	        32.2 ns/op	       0 B/op	       0 allocs/op
